name,ratings_average,ratings_count,price_euros,value_for_money
Château Voigny Sauternes 2019,4.4,143,13.95,0.31541218637992835
Cignomoro Primitivo di Manduria 2021,4.5,32,18.75,0.24
Luccarelli Old Vines Primitivo di Manduria 2019,4.4,274,20.95,0.21002386634844872
Puglia Pop Triglia Negroamaro Rosato 2022,4.7,25,22.95,0.2047930283224401
Vigneti del Salento Vigne Vecchie Gold Series Leggenda Primitivo di Manduria 2019,4.5,424,23.95,0.18789144050104384
Farnese Cinque Autoctoni Collection Limited Release 2020,4.4,255,23.9,0.18410041841004188
Puglia Pop Luminaria Primitivo di Manduria 2021,4.5,71,24.95,0.18036072144288579
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2018,4.4,1748,24.75,0.17777777777777778
Guerrieri Guerriero della Terra 2020,4.4,182,25.95,0.1695568400770713
Rutini Malbec 2019,4.4,2567,25.99,0.16929588303193538
